Domain,tau,H_star,d0,churn,H_min,tau_hat,S_size,success,refusal,infeasible_support,empty_pool_hit,cover_frac
E-health,0.05,3,1,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,1,0.0,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,1,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,1,0.0,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,1,0.0,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,1,0.2,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,1,0.2,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,1,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,1,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,1,0.2,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,1,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,1,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,1,0.4,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,1,0.4,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,1,0.4,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,2,0.0,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,2,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,2,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,2,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,2,0.0,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,2,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.25
E-health,0.05,3,2,0.2,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,2,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,2,0.2,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,2,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,2,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.25
E-health,0.05,3,2,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,2,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,2,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,2,0.4,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,3,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.2916666666666667
E-health,0.05,3,3,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.0,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.2916666666666667
E-health,0.05,3,3,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.2916666666666667
E-health,0.05,3,3,0.2,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,3,3,0.4,3.0,0.041666666666666664,24,1,0,0,0,0.16666666666666666
E-health,0.05,3,3,0.4,3.0,0.041666666666666664,24,1,0,0,1,0.20833333333333334
E-health,0.05,4,1,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,1,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,2,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.0,4.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,4,3,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.0,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.2,4.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,4,3,0.2,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.2,4.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,4,3,0.4,4.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,4,3,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.4,4.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,4,3,0.4,4.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,2,0.4,5.0,0.03125,32,1,0,0,1,0.375
E-health,0.05,5,3,0.0,5.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,3,0.0,5.0,0.03125,32,1,0,0,1,0.375
E-health,0.05,5,3,0.0,5.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,3,0.0,5.0,0.03125,32,1,0,0,1,0.375
E-health,0.05,5,3,0.0,5.0,0.03125,32,1,0,0,1,0.375
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,1,0.4375
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,1,0.375
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,1,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,1,0.4375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.2,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,2,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.4,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,2,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,3,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,3,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,3,0.0,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,3,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,3,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,3,0.2,4.0,0.0625,16,1,0,0,1,0.375
E-health,0.1,4,3,0.2,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,3,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,3,0.2,4.0,0.0625,16,1,0,0,1,0.375
E-health,0.1,4,3,0.2,4.0,0.0625,16,1,0,0,1,0.375
E-health,0.1,4,3,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,3,0.4,4.0,0.0625,16,1,0,0,1,0.4375
E-health,0.1,4,3,0.4,4.0,0.0625,16,1,0,0,1,0.375
E-health,0.1,4,3,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,3,0.4,4.0,0.0625,16,1,0,0,1,0.375
E-health,0.1,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.0,5.0,0.03125,32,1,0,0,0,0.6875
E-health,0.1,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,1,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.6875
E-health,0.1,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.6875
E-health,0.1,5,2,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,2,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.0,5.0,0.03125,32,1,0,0,1,0.6875
E-health,0.1,5,3,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.0,5.0,0.03125,32,1,0,0,0,0.6875
E-health,0.1,5,3,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.0,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.6875
E-health,0.1,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.4,5.0,0.03125,32,1,0,0,0,0.6875
E-health,0.1,5,3,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.1,5,3,0.4,5.0,0.03125,32,1,0,0,0,0.65625
E-health,0.2,3,1,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.0,3.0,0.125,8,1,0,0,0,0.375
E-health,0.2,3,1,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.2,3.0,0.125,8,1,0,0,0,0.375
E-health,0.2,3,1,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,1,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,2,0.4,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,3,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,3,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,3,0.0,3.0,0.125,8,1,0,0,0,0.375
E-health,0.2,3,3,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,3,0.0,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,3,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,3,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,3,0.2,3.0,0.125,8,1,0,0,0,0.375
E-health,0.2,3,3,0.2,3.0,0.125,8,1,0,0,0,0.25
E-health,0.2,3,3,0.2,3.0,0.125,8,1,0,0,0,0.25
